,FACILITY ID,FACILITY NAME,PE DESCRIPTION,FACILITY ADDRESS,FACILITY CITY,FACILITY ZIP,FACILITY LATITUDE,FACILITY LONGITUDE,Location
1,FA0003446,ALOSTA SHELL,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1860 E ROUTE 66,GLENDORA,91740,34.1282663517,-117.8293963169,"(34.1282663517, -117.8293963169)"
2,FA0004073,WORLD OIL,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",478 W ARROW HWY,COVINA,91722,34.106419732,-117.8985821409,"(34.106419732, -117.8985821409)"
12,FA0023436,FOOD 4 LESS #775,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",12222 E CARSON ST,HAWAIIAN GARDENS,90716,33.8309480135,-118.0705072947,"(33.8309480135, -118.0705072947)"
37,FA0036549,TARGET STORES #,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",888 W ARROW HWY,SAN DIMAS,91773,34.1036390196,-117.82336875940001,"(34.1036390196, -117.8233687594)"
40,FA0052688,TOMAS MARKET,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",4292 UNION PACIFIC AVE,LOS ANGELES,90023,34.0164206789,-118.1803317925,"(34.0164206789, -118.1803317925)"
43,FA0053690,VALERO,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",13758 E AMAR RD,LA PUENTE,91746,34.053487124600004,-117.9763411425,"(34.0534871246, -117.9763411425)"
50,FA0052426,TOY CHEVRON,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1860 W AVENUE I,LANCASTER,93534,34.7036278739,-118.1654445928,"(34.7036278739, -118.1654445928)"
51,FA0004008,7-ELEVEN STORE #2175-18515E,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",4383 TWEEDY BLVD,SOUTH GATE,90280,33.9433142953,-118.1948209033,"(33.9433142953, -118.1948209033)"
52,FA0002479,99 CENTS ONLY STORE,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1320 E ALONDRA BLVD,COMPTON,90221,33.888546159499995,-118.20832117200001,"(33.8885461595, -118.208321172)"
53,FA0167809,168 MARKET #806,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",17120 COLIMA RD,HACIENDA HEIGHTS,91745,33.9898366072,-117.93415934629999,"(33.9898366072, -117.9341593463)"
55,FA0247863,7-ELEVEN STORE #16696F,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",733 WASHINGTON BLVD,MONTEBELLO,90640-6222,33.993654104499996,-118.115739853,"(33.9936541045, -118.115739853)"
56,FA0002291,7-ELEVEN,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",6033 WHITTIER BLVD,LOS ANGELES,90022,34.0171951223,-118.1409348022,"(34.0171951223, -118.1409348022)"
57,FA0003026,24 HOUR FITNESS-CLUB 904,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",6653 FALLBROOK AVE,WEST HILLS,91307,34.1915062109,-118.6235342967,"(34.1915062109, -118.6235342967)"
58,FA0138199,7-ELEVEN STORE 39685A,"FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",12225 SANTA MONICA BLVD,SANTA MONICA,90025,34.0400791358,-118.4647955061,"(34.0400791358, -118.4647955061)"
59,FA0003350,24 HOUR FITNESS,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",21560 VALLEY BLVD,WALNUT,91789,34.0257165508,-117.83566600309999,"(34.0257165508, -117.8356660031)"
60,FA0056836,7-ELEVEN #19202-F,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",305 S SAN GABRIEL BLVD,SAN GABRIEL,91776,34.0987882419,-118.0913303207,"(34.0987882419, -118.0913303207)"
61,FA0172207,7-ELEVEN,"FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",380 WORLD WAY T85,LOS ANGELES,90045-5800,33.94359568,-118.40831387940001,"(33.94359568, -118.4083138794)"
62,FA0240486,98 CENTS PLUS SUPER DISCOUNT,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",13848 LOS ANGELES ST,BALDWIN PARK,91706,34.092129550100005,-117.97218517299999,"(34.0921295501, -117.972185173)"
63,FA0004319,99 CENTS ONLY STORE #0326,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",38360 20TH ST E # #B,PALMDALE,93550,34.5791506449,-118.0940562632,"(34.5791506449, -118.0940562632)"
64,FA0003852,7-ELEVEN,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1100 S LA BREA AVE,INGLEWOOD,90301,33.9487561651,-118.3523721761,"(33.9487561651, -118.3523721761)"
65,FA0259334,7-ELEVEN STORE #16187C,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1100 N LA CIENEGA BLVD,WEST HOLLYWOOD,90069,34.0908139489,-118.3762668432,"(34.0908139489, -118.3762668432)"
66,FA0149302,7 DAYS MARKET,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",4309 GRIFFIN AVE,LOS ANGELES,90031,34.0923046243,-118.20396917389999,"(34.0923046243, -118.2039691739)"
67,FA0138916,99 CENTS ONLY STORE,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",619 E UNIVERSITY DR,CARSON,90746-1966,33.8590053367,-118.2653877662,"(33.8590053367, -118.2653877662)"
68,FA0002293,7-ELEVEN #24835-B,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",11373 RIVERSIDE DR,NORTH HOLLYWOOD,91602,34.157321072100004,-118.37836444770001,"(34.1573210721, -118.3783644477)"
69,FA0172337,7-ELEVEN #18821-B,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",11075 OLYMPIC BLVD,LOS ANGELES,90064,34.0405837724,-118.4376873822,"(34.0405837724, -118.4376873822)"
71,FA0004497,99 CENTS ONLY STORE #199,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",15505 S NORMANDIE AVE,GARDENA,90247,33.8903209626,-118.2997223948,"(33.8903209626, -118.2997223948)"
74,FA0056764,7-ELEVEN #34571A,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",2299 W 190TH ST,REDONDO BEACH,90278,33.8585481386,-118.3701691258,"(33.8585481386, -118.3701691258)"
75,FA0203410,7-ELEVEN STORE #39744A,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",5700 SANTA MONICA BLVD,LOS ANGELES,90038,34.0907232497,-118.313779184,"(34.0907232497, -118.313779184)"
76,FA0056572,2000 C-STORE,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",825 N CENTRAL AVE,GLENDALE,91203,34.1581731143,-118.2583595264,"(34.1581731143, -118.2583595264)"
77,FA0138438,7-ELEVEN #19399,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1665 S ROBERTSON BLVD,LOS ANGELES,90035,34.0490058964,-118.38560337,"(34.0490058964, -118.38560337)"
78,FA0137976,7-ELEVEN,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",8543 ROSEMEAD BLVD,PICO RIVERA,90660,33.961482955,-118.1101625057,"(33.961482955, -118.1101625057)"
79,FA0002300,7-ELEVEN # 13839G,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1111 N GARFIELD AVE,ALHAMBRA,91801,34.1048577365,-118.1342862266,"(34.1048577365, -118.1342862266)"
81,FA0003804,7-ELEVEN #25387-A,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1106 W BEVERLY BLVD,MONTEBELLO,90640,34.0181958869,-118.1100426359,"(34.0181958869, -118.1100426359)"
82,FA0025612,7-ELEVEN #39646A,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",504 W OLYMPIC BLVD,LOS ANGELES,90015,34.0431005891,-118.26103710950001,"(34.0431005891, -118.2610371095)"
83,FA0171896,7-ELEVEN STORE 39726A,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",3044 FOOTHILL BLVD,LA CRESCENTA,91214-2713,34.2276234255,-118.2460208808,"(34.2276234255, -118.2460208808)"
84,FA0003025,24 HOUR FITNESS,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",5300 LANKERSHIM BLVD,NORTH HOLLYWOOD,91601,34.1671484304,-118.3757111626,"(34.1671484304, -118.3757111626)"
85,FA0159730,7-ELEVEN STORE 18341D,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",14102 SHERMAN WAY,VAN NUYS,91405,34.2010703465,-118.44013257959999,"(34.2010703465, -118.4401325796)"
86,FA0175631,7-ELEVEN STORE 37021A,"FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",15228 S AVALON BLVD,COMPTON,90220,33.8936177515,-118.2650550466,"(33.8936177515, -118.2650550466)"
88,FA0003698,7 ELEVEN 25625B,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",10008 E VALLEY BLVD,EL MONTE,91731,34.0785551983,-118.05261977239999,"(34.0785551983, -118.0526197724)"
89,FA0056709,7- ELEVEN STORE #13735,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",3735 EMERALD ST,TORRANCE,90503,33.841603399499995,-118.3527291649,"(33.8416033995, -118.3527291649)"
90,FA0240802,7-ELEVEN STORE 37301A,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",307 W COMPTON BLVD,COMPTON,90220,33.8959975302,-118.22669050440001,"(33.8959975302, -118.2266905044)"
92,FA0004146,99 CENT OUTLET,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",437 E EL SEGUNDO BLVD,LOS ANGELES,90061,33.9166517175,-118.26607153879999,"(33.9166517175, -118.2660715388)"
93,FA0003973,7-ELEVEN #17243E,"FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",15805 PRAIRIE AVE,LAWNDALE,90260,33.8872607048,-118.3439925923,"(33.8872607048, -118.3439925923)"
94,FA0001948,24 HOUR FITNESS # 867,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",500 N ATLANTIC BLVD # A102-,MONTEREY PARK,91754,34.0682715732,-118.1343266193,"(34.0682715732, -118.1343266193)"
95,FA0003689,7 DAYS LIQUOR,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",2482 S ATLANTIC BLVD,COMMERCE,90040,34.002146260500005,-118.16877843389999,"(34.0021462605, -118.1687784339)"
96,FA0003801,7-ELEVEN,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",5800 ATLANTIC BLVD,MAYWOOD,90270,33.9878618017,-118.18514141860001,"(33.9878618017, -118.1851414186)"
97,FA0155836,99 CENTS + DISCOUNT STORE,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1647 N INDIAN HILL BLVD,POMONA,91767,34.075126590100005,-117.7193831866,"(34.0751265901, -117.7193831866)"
98,FA0003994,7-ELEVEN #14029E,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",15780 E TETLEY ST,HACIENDA HEIGHTS,91745,33.993025093,-117.96946811069999,"(33.993025093, -117.9694681107)"
99,FA0002303,7-ELEVEN STORE #33572C,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",3018 W MANCHESTER BLVD,INGLEWOOD,90305,33.9596754031,-118.3260814956,"(33.9596754031, -118.3260814956)"
100,FA0056760,7-ELEVEN #24078D,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1699 W CARSON ST,TORRANCE,90501,33.831664274699996,-118.3088301575,"(33.8316642747, -118.3088301575)"
101,FA0002153,7-ELEVEN MARKET,"FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",1910 COLORADO BLVD,LOS ANGELES,90041,34.139055851799995,-118.20899083629999,"(34.1390558518, -118.2089908363)"
102,FA0267141,7 ELEVEN #38021A,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",12500 ROSCOE BLVD,SUN VALLEY,91352,34.2216315284,-118.4059724955,"(34.2216315284, -118.4059724955)"
103,FA0245524,7-ELEVEN STORE 16480D,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",14627 PRAIRIE AVE,LAWNDALE,90260,33.8985,-118.344305,"(33.8985, -118.344305)"
105,FA0267134,7-ELEVEN 38238,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",14101 FRANCISQUITO AVE,BALDWIN PARK,91706,34.0646096342,-117.968696619,"(34.0646096342, -117.968696619)"
106,FA0259424,99 CENT + STORE,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",21315 SATICOY ST # H,CANOGA PARK,91304,34.2083315232,-118.5959829446,"(34.2083315232, -118.5959829446)"
108,FA0002286,7-ELEVEN,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",5495 SEPULVEDA BLVD STE #L,CULVER CITY,90230,33.9931785663,-118.395352558,"(33.9931785663, -118.395352558)"
109,FA0056780,7-ELEVEN,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1200 S GARFIELD AVE,ALHAMBRA,91801,34.0804978938,-118.12269704799999,"(34.0804978938, -118.122697048)"
110,FA0001801,1560 PHARMACY,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1560 E CHEVY CHASE DR STE #110,GLENDALE,91206,34.1529066954,-118.2302990359,"(34.1529066954, -118.2302990359)"
111,FA0056771,7-ELEVEN #26916B/2174,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1212 W ANAHEIM ST STE A,HARBOR CITY,90710,33.782211455900004,-118.29799768209999,"(33.7822114559, -118.2979976821)"
112,FA0004184,7-ELEVEN #33959A,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",19666 VENTURA BLVD,TARZANA,91356,34.1724022927,-118.5618899282,"(34.1724022927, -118.5618899282)"
114,FA0003822,7-ELEVEN #21843 A,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",3545 W ARTESIA BLVD,TORRANCE,90504,33.8730334495,-118.3343691509,"(33.8730334495, -118.3343691509)"
116,FA0177087,7-ELEVEN STORE 34059C,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",6586 VAN NUYS BLVD,VAN NUYS,91401,34.1905497221,-118.4484349158,"(34.1905497221, -118.4484349158)"
117,FA0003993,7-ELEVEN #18867-B,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",5880 W MANCHESTER AVE,LOS ANGELES,90045,33.9597078866,-118.385196182,"(33.9597078866, -118.385196182)"
119,FA0262142,7-ELEVEN STORE 23774E,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",8707 CORBIN AVE,NORTHRIDGE,91324,34.2283915656,-118.5623494344,"(34.2283915656, -118.5623494344)"
120,FA0267844,7-ELEVEN STORE 38041A,"FOOD MKT RETAIL (2,000+ SF) MODERATE RISK",1328 SAN GABRIEL BLVD,ROSEMEAD,91770,34.0445258679,-118.09028263280001,"(34.0445258679, -118.0902826328)"
121,FA0004152,99 CENTS ONLY STORE #037,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",14540 E LEFFINGWELL RD,LA MIRADA,90638,33.9239559261,-118.0215046756,"(33.9239559261, -118.0215046756)"
122,FA0004490,99 CENTS ONLY STORE #28,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",9565 LAS TUNAS DR,TEMPLE CITY,91780,34.106881377600004,-118.061609376,"(34.1068813776, -118.061609376)"
123,FA0003970,7-ELEVEN,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",1916 S SAN PEDRO ST,LOS ANGELES,90011,34.0271490863,-118.2575318472,"(34.0271490863, -118.2575318472)"
124,FA0056804,7-ELEVEN #27558-A,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",8707 LINDLEY AVE,NORTHRIDGE,91325,34.2291343124,-118.527517617,"(34.2291343124, -118.527517617)"
126,FA0002490,99 CENTS ONLY STORE #087,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",19836 VENTURA BLVD,WOODLAND HILLS,91364,34.1721216398,-118.5653600706,"(34.1721216398, -118.5653600706)"
127,FA0266315,7-ELEVEN STORE 13889B,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",15601 NORDHOFF ST,NORTH HILLS,91343,34.2355844788,-118.4721505511,"(34.2355844788, -118.4721505511)"
130,FA0003825,7-ELEVEN,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",11348 SUNBURST ST,SYLMAR,91342,34.277755074,-118.3785806517,"(34.277755074, -118.3785806517)"
131,FA0004317,99 CENTS ONLY STORE,"FOOD MKT RETAIL (2,000+ SF) LOW RISK",307 N CITRUS AVE,AZUSA,91702,34.0887327672,-117.8904493479,"(34.0887327672, -117.8904493479)"
132,FA0226278,4 DIAMANTES MARKET,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",4753 S BROADWAY,LOS ANGELES,90037-3253,34.000081373,-118.27837852190001,"(34.000081373, -118.2783785219)"
