LOCATION ACCOUNT #,BUSINESS NAME,DBA NAME,STREET ADDRESS,CITY,ZIP CODE,LOCATION DESCRIPTION,MAILING ADDRESS,MAILING CITY,MAILING ZIP CODE,NAICS,PRIMARY NAICS DESCRIPTION,COUNCIL DISTRICT,LOCATION START DATE,LOCATION END DATE,LOCATION,LATITUDE,LONGITUDE
0002583451-0001-3,LAING SING HUANG / KARIE KHENG ING,SILVER MOON MARKET,2501 E 4TH STREET,LOS ANGELES,90033-4418,2501 4TH 90033-4418,,,,424400.0,Grocery & related products,14,10/24/2011,,"(34.0401, -118.2106)",34.0401,-118.2106
0002485518-0001-8,HOE AE CHUNG,VENUS MARKET,10117 AVALON BLVD,LOS ANGELES,90003-4817,10117 AVALON 90003-4817,10117 AVALON BLVD,LOS ANGELES,90003-4817,445100.0,Grocery stores (including supermarkets & convenience stores without gas),8,02/12/2010,,"(33.9442, -118.2651)",33.9442,-118.2651
0000572435-0001-1,MEADOW MAID MARKET INC,MEADOW MALD MARKET,5393 ALHAMBRA AVENUE,LOS ANGELES,90032-3411,5393 ALHAMBRA 90032-3411,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),14,11/20/2001,,"(34.0769, -118.1683)",34.0769,-118.1683
0000380625-0001-5,ELIAS PRODUCE INC,,746 MARKET COURT SPACE #10-11,LOS ANGELES,90021-1103,746 MARKET 90021-1103,3424 BESWICK STREET,LOS ANGELES,90023-3010,445230.0,Fruit & vegetable markets,14,07/01/1996,,"(34.0347, -118.2416)",34.0347,-118.2416
0000579716-0001-4,TAPOVAN INC,7 ELEVEN 2136-33028A | 7-ELEVEN STORE 33028A,2200 W SUNSET BLVD,LOS ANGELES,90026-3002,2200 SUNSET 90026-3002,POST OFFICE BOX #219088,DALLAS,75221-9088,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,12/12/2001,,"(34.0778, -118.266)",34.0778,-118.266
0002493431-0001-7,COMMUNITY DISTRIBUTION CENTER,COMMUNITY DISTRIBUTION CENTER,11350 SATICOY STREET,SUN VALLEY,91352-4730,11350 SATICOY 91352-4730,,,,424400.0,Grocery & related products,2,03/03/2010,,"(34.2084, -118.3779)",34.2084,-118.3779
0002341282-0001-1,JESENIA HERNANDEZ,ARELI'S MEAT MARKET,9419 S SAN PEDRO STREET,LOS ANGELES,90003-4320,9419 SAN PEDRO 90003-4320,,,,445210.0,Meat markets,9,04/18/2008,,"(33.9509, -118.2695)",33.9509,-118.2695
0002531405-0001-7,"LA PAZ WINNETKA, INC",LA PAZ,7235 CORBIN AVENUE,WINNETKA,91306-3006,7235 CORBIN 91306-3006,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),3,11/01/2010,,"(34.2018, -118.5622)",34.2018,-118.5622
0002722959-0001-6,ARMOND AZENCOT/ MOSHE MIKE GUTTMAN / ALON GUTTMAN,PRIME KOSHER MEATS,18375 VENTURA BLVD SUITE #700,TARZANA,91356-4218,18375 VENTURA 91356-4218,,,,445210.0,Meat markets,3,01/13/2014,,"(34.1675, -118.5329)",34.1675,-118.5329
0000294489-0001-9,JACK TRUPIANO,JACK TRUPIANO PRODUCE,1601 E OLYMPIC BLVD #160,LOS ANGELES,90021-1947,1601 OLYMPIC 90021-1947,111 VIA RAVENNA,NEWPORT BEACH,92663-5507,445230.0,Fruit & vegetable markets,14,02/01/1995,,"(34.03, -118.2418)",34.03,-118.2418
0002493164-0001-7,ARTEMIO SADOT MARTINEZ/ MARIA MAGDALENA CRUZ,MINI MARKET GUADALUPANA,5726 SANTA MONICA BLVD,LOS ANGELES,90038-3202,5726 SANTA MONICA 90038-3202,982 N EL CENTRO AVENUE,LOS ANGELES,90038-3014,445100.0,Grocery stores (including supermarkets & convenience stores without gas),13,03/23/2010,,"(34.0907, -118.3145)",34.0907,-118.3145
0002552687-0001-1,VANESSA VITASOVICH,,414 S CLOVERDALE AVENUE APARTMENT #109,LOS ANGELES,90036-3444,414 CLOVERDALE 90036-3444,414 S CLOVERDALE AVENUE APARTMENT #109,LOS ANGELES,90036-3444,424400.0,Grocery & related products,4,07/31/2010,,"(34.0665, -118.3461)",34.0665,-118.3461
0002404845-0001-1,ELIA CABRERA LEON,MONTOYA'S MINI MARKET,6726 S SAN PEDRO STREET,LOS ANGELES,90003-1940,6726 SAN PEDRO 90003-1940,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,01/01/2009,,"(33.9785, -118.2695)",33.9785,-118.2695
0000860074-0002-2,MARTIN CALVILLO GARCIA,MARTIN'S FRESH PRODUCE,406 E PALMER AVENUE UNIT #27,GLENDALE,91205-3226,406 PALMER 91205-3226,406 E PALMER AVENUE UNIT #27,GLENDALE,91205-3226,445230.0,Fruit & vegetable markets,0,03/18/2013,,"(34.1326, -118.2511)",34.1326,-118.2511
0002588807-0001-1,HONORIO RAMIREZ,LA TIA MARQUET,147 W WASHINGTON BLVD,LOS ANGELES,90015-3544,147 WASHINGTON 90015-3544,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,10/01/2011,,"(34.0316, -118.2658)",34.0316,-118.2658
0000839335-0002-3,MAUI FRESH INTERNATIONAL LLC,,1601 E OLYMPIC BLVD SPACE #509,LOS ANGELES,90021-1944,1601 OLYMPIC 90021-1944,POST OFFICE BOX #21448,LOS ANGELES,90021-0448,445230.0,Fruit & vegetable markets,14,08/01/2006,,"(34.03, -118.2418)",34.03,-118.2418
0000190261-0001-4,DAWIT BELAY,MERKATO,1036 1/2 S FAIRFAX AVENUE,LOS ANGELES,90019-4401,1036 FAIRFAX 90019-4401,,,,445100.0,Grocery stores (including supermarkets & convenience stores without gas),10,06/28/1995,,"(34.0573, -118.3642)",34.0573,-118.3642
0000358634-0001-3,TORTILLERIA LA CALIFORNIA INC,TORTILLERIA LA CALIFORNIA,2241 CYPRESS AVENUE,LOS ANGELES,90065-1214,2241 CYPRESS 90065-1214,,,,424400.0,Grocery & related products,1,04/21/1996,,"(34.104, -118.2374)",34.104,-118.2374
0000804132-0001-0,ARTURO TORO,TURO PRODUCE,8552 LEHIGH AVENUE,SUN VALLEY,91352-3347,8552 LEHIGH 91352-3347,8552 LEHIGH AVENUE,SUN VALLEY,91352-3347,445230.0,Fruit & vegetable markets,6,01/01/1999,,"(34.2246, -118.3685)",34.2246,-118.3685
0002630648-0001-0,JPT FOOD LLC,,730 S WESTERN AVENUE SUITE #107-A,LOS ANGELES,90005-3193,730 WESTERN 90005-3193,,,,424400.0,Grocery & related products,10,04/01/2011,,"(34.0587, -118.309)",34.0587,-118.309
0002275747-0001-3,NICOLAS GARCIA PEREZ,GARCIA'S MARKET,1177 W VERNON AVENUE,LOS ANGELES,90037-2444,1177 VERNON 90037-2444,16515 VAN NESS AVENUE,TORRANCE,90504-1937,445100.0,Grocery stores (including supermarkets & convenience stores without gas),9,09/18/2007,,"(34.0036, -118.2953)",34.0036,-118.2953
